Source_id,Sentence_sa
1,"""Ctrl, S नुत्वा रक्षन्तु।"""
2,गुरुः छात्रान् एकवारं पाठयति ।
3,चित्रचालनमिदं पुनः कर्तुं मया अस्याः राशेः चित्रद्वयं स्वीकरणीयमस्ति । इदमतीव सुलभमस्ति ।
4,वयं  Colors विकल्पं तस्योपरि नोदनेन चिनुमः ।
5,"""अत्र कानिचन उदाहरणानि पश्याम:- एक: पर्वत:, चत्वारो ग्रामा:, चत्वारो मार्गा: ये लक्ष्यं (पताकां) प्रति गच्छन्ति।"""
6,येनाहं शोकयुक्तीकृतस्तेन केवलमहं शोकयुक्तीकृतस्तन्नहि किन्त्वंशतो यूयं सर्व्वेऽपि यतोऽहमत्र कस्मिंश्चिद् दोषमारोपयितुं नेच्छामि।
7,"""अंगुष्ठं परस्परं मेलयत । श्वासं स्वीकुर्यात्, शिर: उत्थापयेत्। वक्ष: स्थलं तथा उदरं धनुषाकारं कुर्यात । केवलं करतलं तथा अङ्गुष्ठम् एव भूमिं स्पृशति ।"""
8,अतोऽत्र किमपि परिवर्तनं नावश्यकम् ।
9,"इदम् एलिमेण्ट्, सङ्ख्या वा स्ट्रिङ्ग् वा भवितुमर्हति ।"
10,बाल: एतासु प्रीतिं प्रदर्शयति ।
11,"अस्मिन् सरणौ विवरिष्यमाणानि प्रधानवैशिष्ट्यानि, इत्येतेषां विषयान् ज्ञास्यामः ।"
12,अत्र उपरि वातायनानि सन्ति।
13,सः विक्रयमनुसृत्य माध्यस्थिकं(commission) वा provision वा प्राप्नोति ।
14,तत्पश्चाद् द्वितीय एको दूत उपस्थायावदत् पतिता पतिता सा महाबाबिल् या सर्व्वजातीयान् स्वकीयं व्यभिचाररूपं क्रोधमदम् अपाययत्।
15,एते गवाक्षाः लेटेक् उपयुज्य typeset कर्तुम् आवश्यकनि त्रीणि सोपानानि सन्ति।
16,"""औषधि:, वृक्षा: मिलित्वा होम: निर्मिमस्ति।"""
17,"""अन्यथा हनुमान् सागरम् इव त्वां लङ्घयित्वा गच्छेयम्"""""""" इति ।"""
18,लिनक्स मध्ये एक्लिप्स इत्यस्य संस्थापनस्य विषये विद्यमानेऽस्मिन् पाठे भवतां स्वागतम्।
19,"इदं printf, प्रत्येकस्याः पङ्क्त्याः अन्ते newline character इतीदं मुद्रापयति ।"
20,अपि चेदं मम प्रथमचित्रमस्ति ।
21,अपेक्षितं फ़लितम् प्राप्यते ।
22,"'Range' इति विकल्पः, मुद्रापणीयानां पृष्टानां श्रेणीं (Range) चेतुं साहाय्यं करोति।"
23,"इदन्तु ,AWT अपि च Swing components इत्येतैः युक्तेन  Component Palette इत्यनेन च युक्तं वर्तते ।"
24,राजा दुष्ट सेवकं बहिष्करोति ।
25,बाल: एतस्मिन् वात्सल्यं प्रकटयति ।
26,भवदभीष्टं यत्किमपि वेब् ब्रौसर् उपयोक्तुमर्हन्ति भवन्तः ।
27,ततः परं ते जैतुननाम्नः पर्व्वताद् विश्रामवारस्य पथः परिमाणम् अर्थात् प्रायेणार्द्धक्रोशं दुरस्थं यिरूशालम्नगरं परावृत्यागच्छन्।
28,एते सृती ।
29,"ओब्जेक्ट्स्-इतीमानि एकीकर्तुं अपि च प्रविभागं कर्तुं,"
30,बाल: तस्यां आदरं प्रकटयति ।
31,"""अपरं ख्रीष्टेन परीक्षितम् आपिल्लिं मम नमस्कारं वदत, आरिष्टबूलस्य परिजनांश्च मम नमस्कारं ज्ञापयध्वं।"""
32,बाल: तस्यां प्रीतिं प्रकटयति ।
33,तत्सम्बद्धपाठाय कृपया अधस्तन जालपुटं पश्यन्तु : http://spoken-tutorial.org
34,किन्तु ते सर्व्वोत्कृष्टम् अर्थतः स्वर्गीयं देशम् आकाङ्क्षन्ति तस्माद् ईश्वरस्तानधि न लज्जमानस्तेषाम् ईश्वर इति नाम गृहीतवान् यतः स तेषां कृते नगरमेकं संस्थापितवान्।
35,scrap layer इत्येकस्मिन् अहमत्र भवते दर्शयामि ।
36,धृतीनां तामसी अधमा ।
37,भ्रात्रोः कलहेन भीगनी खिन्ना भवति ।
38,वामतः पेनल् मध्ये Site administration इतीदं पुनः नुदन्तु ।
39,"""मरियमः समीपम् आगता ये यिहूदीयलोकास्तदा यीशोरेतत् कर्म्मापश्यन् तेषां बहवो व्यश्वसन्,"""
40,यत्किमपि मानवानां कृते उपयोगि भवति तत संसाधनम्।
41,बाल: भवत्सु सौजन्यं करोति ।
42,प्राचीनसमये निर्दिष्ट: दिशा-निर्देशं अद्यपि विज्ञानम दिशां ददाति।
43,चरणौ वह्निकुण्डेतापितसुपित्तलसदृशौ रवश्च बहुतोयानां रवतुल्यः।
44,"""स्त्रियो गच्छन्ति, तदा रक्षिणां केचित् पुरं गत्वा यद्यद् घटितं तत्सर्व्वं प्रधानयाजकान् ज्ञापितवन्तः।"""
45,रेकोर्डिङ्ग् प्रारभे ।
46,एका संवादपेटिका उद्घटये यत्र चितस्य सम्पुटस्य प्रतिष्ठापनप्रगतिः दृश्यते।
47,अधुना किं भवति इति पश्यामः। Save नुदन्तु।
48,"पुनः Stroke paint टेब्-प्रति आगच्छाम । स्ट्रोक्-वर्णं, RGB टेब्-मध्ये स्लैडर् चालयित्वा परिवर्तितुं शक्नुमः ।"
